"DateTime","Users","Average Users","Flags"
"2023-04-03 00:00:00",1,1,
"2023-04-04 00:00:00",3,1,
"2023-04-05 00:00:00",4,2,
"2023-04-06 00:00:00",2,1,
"2023-04-07 00:00:00",27,7,
"2023-04-08 00:00:00",1,1,
"2023-04-09 00:00:00",1,1,
"2023-04-10 00:00:00",24,6,
"2023-04-11 00:00:00",26,6,
"2023-04-12 00:00:00",33,10,
"2023-04-13 00:00:00",42,9,
"2023-04-14 00:00:00",14,4,
"2023-04-15 00:00:00",2,1,
"2023-04-16 00:00:00",1,1,
"2023-04-17 00:00:00",13,4,
"2023-04-18 00:00:00",11,3,
"2023-04-19 00:00:00",10,4,
"2023-04-20 00:00:00",7,2,
"2023-04-21 00:00:00",7,3,
"2023-04-22 00:00:00",2,1,
"2023-04-23 00:00:00",1,1,
"2023-04-24 00:00:00",9,2,
"2023-04-25 00:00:00",8,4,
"2023-04-26 00:00:00",7,3,
"2023-04-27 00:00:00",6,3,
"2023-04-28 00:00:00",4,1,
"2023-04-29 00:00:00",,,
"2023-04-30 00:00:00",,,
"2023-05-01 00:00:00",,,
"2023-05-02 00:00:00",2,1,
"2023-05-03 00:00:00",1,1,
"2023-05-04 00:00:00",,,
"2023-05-05 00:00:00",,,
"2023-05-06 00:00:00",,,
"2023-05-07 00:00:00",,,
"2023-05-08 00:00:00",2,1,
"2023-05-09 00:00:00",2,1,
"2023-05-10 00:00:00",2,1,
"2023-05-11 00:00:00",1,1,
"2023-05-12 00:00:00",,,
"2023-05-13 00:00:00",,,
"2023-05-14 00:00:00",,,
"2023-05-15 00:00:00",,,
"2023-05-16 00:00:00",1,1,
"2023-05-17 00:00:00",1,1,
"2023-05-18 00:00:00",13,5,
"2023-05-19 00:00:00",31,7,
"2023-05-20 00:00:00",11,4,
"2023-05-21 00:00:00",9,3,
"2023-05-22 00:00:00",25,7,
"2023-05-23 00:00:00",30,6,
"2023-05-24 00:00:00",25,8,
"2023-05-25 00:00:00",25,6,
"2023-05-26 00:00:00",27,5,
"2023-05-27 00:00:00",3,1,
"2023-05-28 00:00:00",1,1,
"2023-05-29 00:00:00",9,2,
"2023-05-30 00:00:00",30,10,
"2023-05-31 00:00:00",45,11,
"2023-06-01 00:00:00",12,11,